2
Dumping Log 2,    start pg 3,   end pg 57
id    longitude    latitude    altitude    pitch    roll    yaw
239    109.3854400    23.7125470    542.7400    0.22    -7.04    160.08
240    109.3856700    23.7121350    546.4400    3.19    -2.10    158.44
241    109.3859600    23.7117670    547.0600    6.80    7.78    168.30
242    109.3862000    23.7113530    542.2600    6.89    -7.17    168.64
243    109.3864600    23.7109620    544.6200    2.18    1.73    157.29
244    109.3867300    23.7105710    542.6600    -0.61    -4.65    154.67
245    109.3870100    23.7101860    542.5700    1.67    2.49    157.90
246    109.3872400    23.7097850    540.2300    5.65    -2.05    174.18
247    109.3875000    23.7093890    540.4800    1.85    0.65    156.36
248    109.3877800    23.7090030    539.7900    6.09    1.18    177.41
249    109.3880500    23.7086200    540.5300    3.93    3.44    164.44
250    109.3882800    23.7082020    540.5100    3.90    -8.75    165.44
251    109.3885700    23.7078380    540.4300    2.17    9.88    163.94
252    109.3887700    23.7074180    538.4700    2.98    -10.34    167.29
253    109.3890700    23.7070480    533.4400    3.98    12.64    170.30
254    109.3892200    23.7066120    529.3100    1.48    -11.36    150.93
255    109.3895800    23.7062840    523.4200    2.15    9.47    165.95
256    109.3896900    23.7058450    524.2300    4.22    -16.40    172.48
257    109.3908800    23.7064610    526.8500    -3.64    -26.08    297.75
258    109.3905300    23.7067930    526.2900    -0.65    21.10    316.62
259    109.3902400    23.7071990    528.1900    0.22    1.44    315.52
260    109.3899400    23.7076360    528.6500    -0.30    0.75    327.39
261    109.3896900    23.7079810    528.9700    2.42    6.83    335.83
262    109.3894000    23.7083930    530.5900    -2.69    4.13    311.03
263    109.3891600    23.7087400    528.0500    -0.11    0.61    319.52
264    109.3888800    23.7091330    523.4600    -2.97    18.16    328.28
265    109.3886000    23.7095550    525.7700    3.18    2.48    301.92
266    109.3883100    23.7099490    521.3400    4.20    20.01    341.58
267    109.3880500    23.7103580    522.5100    -0.51    11.53    320.96
268    109.3878400    23.7107700    522.1300    1.55    -1.05    317.01
269    109.3876200    23.7111800    519.5600    2.27    -0.21    330.95
270    109.3873700    23.7115880    516.6300    5.18    5.76    338.61
271    109.3871000    23.7119870    517.1700    5.79    5.28    335.63
272    109.3868200    23.7124000    518.6600    2.71    6.14    328.26
273    109.3865700    23.7128030    519.7400    -1.72    -0.13    316.59
274    109.3863400    23.7132050    519.1000    1.17    -6.55    304.49
275    109.3860900    23.7135980    518.8500    0.41    -0.50    308.39
276    109.3858300    23.7140010    517.5800    1.74    -5.28    316.01
277    109.3855900    23.7144130    517.4400    3.64    -7.10    324.31
278    109.3853300    23.7148130    517.7100    6.23    1.20    335.93
279    109.3850900    23.7152160    517.9900    4.18    -6.35    324.40
280    109.3848300    23.7156180    517.2300    -1.61    -1.87    308.73
281    109.3845600    23.7160280    515.6300    0.69    -7.50    306.77
282    109.3842900    23.7164360    514.3000    0.60    -3.30    294.09
283    109.3840400    23.7168540    512.9300    2.18    -13.88    313.84
284    109.3837700    23.7172740    512.8400    4.04    -5.67    322.55
285    109.3834600    23.7176510    510.6300    4.77    9.41    325.06
286    109.3831600    23.7180370    509.5000    6.81    9.43    338.73
287    109.3828600    23.7184620    509.5100    2.15    10.88    331.89
288    109.3826100    23.7188210    508.4800    2.24    8.73    330.34
289    109.3823600    23.7192100    508.1800    0.67    0.18    315.46
290    109.3821000    23.7196060    507.3700    3.22    0.10    312.92
291    109.3818500    23.7200090    507.7600    2.24    -0.09    313.14
292    109.3815800    23.7204150    506.9800    2.85    0.70    316.39
293    109.3813200    23.7208330    505.4400    8.14    3.65    332.70
294    109.3810800    23.7212520    504.7900    7.74    -0.76    337.76
295    109.3808100    23.7216640    505.8200    8.09    2.32    334.10
296    109.3805300    23.7220590    506.5100    5.43    7.58    332.54
297    109.3802900    23.7224620    509.0800    3.28    2.81    329.32
298    109.3800600    23.7228850    510.7700    2.20    -6.03    323.44
299    109.3798000    23.7232910    511.4100    0.29    0.29    316.69
300    109.3795300    23.7237030    509.4600    -1.65    0.87    316.96
301    109.3792600    23.7240910    508.8200    -0.11    1.95    309.66
302    109.3790100    23.7244870    507.6700    2.50    -11.09    308.48
303    109.3787400    23.7248760    506.4400    4.42    3.40    309.71
304    109.3784500    23.7252830    505.2000    9.52    4.57    335.39
305    109.3781700    23.7257040    508.3800    10.02    1.88    341.77
306    109.3779200    23.7261120    509.6500    4.08    1.86    334.33
307    109.3776600    23.7265110    511.6200    1.49    -4.77    316.86
308    109.3786500    23.7272300    514.0800    2.21    18.64    157.99
309    109.3789100    23.7268220    518.3100    -0.99    -4.49    164.70
310    109.3791600    23.7264190    519.1800    0.84    4.89    162.79
311    109.3794400    23.7260270    518.7900    1.07    -5.10    161.93
312    109.3797000    23.7256390    518.7100    2.46    -4.34    162.81
313    109.3799700    23.7252350    519.1500    2.72    4.41    169.05
314    109.3802100    23.7248290    520.6800    1.89    -6.00    154.24
315    109.3804600    23.7244380    520.7200    4.77    0.82    170.56
316    109.3807200    23.7240390    521.2300    1.63    1.33    161.57
317    109.3809500    23.7236270    526.4400    3.22    -9.07    146.12
318    109.3812300    23.7232280    524.8300    3.55    2.79    166.19
319    109.3814900    23.7228450    526.4900    0.34    5.02    154.90
320    109.3817700    23.7224600    528.1600    3.66    -0.43    168.62
